iter	Passed	Remaining
1227	62366	191569
1228	62422	191534
1229	62474	191486
1230	62532	191458
1231	62590	191428
1232	62639	191373
1233	62692	191327
1234	62742	191275
1235	62791	191219
1236	62846	191180
1237	62896	191128
1238	62954	191099
1239	63003	191044
1240	63051	190984
1241	63103	190935
1242	63141	190846
1243	63175	190745
1244	63222	190683
1245	63272	190629
1246	63320	190571
1247	63373	190525
1248	63427	190485
1249	63479	190438
1250	63536	190406
1251	63585	190350
1252	63636	190300
1253	63685	190243
1254	63734	190186
1255	63784	190134
1256	63831	190071
1257	63883	190024
1258	63945	190007
1259	64004	189981
1260	64056	189933
1261	64104	189874
1262	64155	189824
1263	64203	189764
1264	64254	189715
1265	64302	189656
1266	64351	189599
1267	64403	189553
1268	64456	189508
1269	64508	189461
1270	64557	189404
1271	64607	189351
1272	64653	189289
1273	64701	189227
1274	64756	189189
1275	64809	189146
1276	64864	189107
1277	64916	189059
1278	64968	189013
1279	65016	188953
1280	65068	188908
1281	65117	188851
1282	65166	188794
1283	65219	188750
1284	65267	188691
1285	65315	188634
1286	65367	188585
1287	65420	188540
1288	65471	188489
1289	65522	188440
1290	65570	188380
1291	65619	188326
1292	65681	188307
1293	65729	188248
1294	65777	188189
1295	65824	188127
1296	65872	188069
1297	65930	188038
1298	65980	187986
1299	66027	187923
1300	66078	187875
1301	66128	187821
1302	66187	187794
1303	66242	187753
1304	66288	187691
1305	66340	187642
1306	66391	187591
1307	66443	187544
1308	66498	187506
1309	66552	187463
1310	66595	187392
1311	66644	187336
1312	66694	187284
1313	66730	187190
1314	66784	187148
1315	66831	187088
1316	66879	187027
1317	66936	186996
1318	66987	186944
1319	67033	186881
1320	67080	186819
1321	67124	186749
1322	67173	186693
1323	67226	186649
1324	67278	186602
1325	67329	186552
1326	67381	186504
1327	67431	186452
1328	67479	186393
1329	67529	186341
1330	67579	186287
1331	67629	186234
1332	67678	186178
1333	67726	186121
1334	67772	186057
1335	67820	185999
1336	67889	185997
1337	67943	185956
1338	67993	185903
1339	68039	185839
1340	68087	185780
1341	68144	185746
1342	68196	185698
1343	68243	185638
1344	68292	185583
1345	68354	185562
1346	68405	185513
1347	68459	185469
1348	68504	185404
1349	68553	185347
1350	68599	185284
1351	68647	185226
1352	68696	185171
1353	68747	185120
1354	68800	185075
1355	68847	185015
1356	68897	184962
1357	68949	184913
1358	68996	184853
1359	69046	184801
1360	69094	184741
1361	69143	184687
1362	69195	184639
1363	69240	184574
1364	69292	184526
1365	69345	184480
1366	69397	184434
1367	69448	184384
1368	69507	184354
1369	69554	184293
1370	69609	184254
1371	69662	184208
1372	69716	184167
1373	69764	184110
1374	69812	184052
1375	69864	184004
1376	69922	183971
1377	69974	183925
1378	70023	183869
1379	70065	183795
1380	70129	183777
1381	70182	183734
1382	70231	183679
1383	70276	183612
1384	70327	183562
1385	70384	183527
1386	70437	183483
1387	70489	183435
1388	70543	183391
1389	70600	183358
1390	70654	183315
1391	70703	183259
1392	70749	183197
1393	70802	183152
1394	70853	183102
1395	70906	183056
1396	70957	183006
1397	71005	182948
1398	71059	182905
1399	71110	182855
1400	71157	182793
1401	71202	182729
1402	71248	182665
1403	71294	182602
1404	71352	182570
1405	71397	182505
1406	71444	182446
1407	71494	182391
1408	71547	182347
1409	71599	182299
1410	71652	182254
1411	71703	182205
1412	71754	182155
1413	71810	182116
1414	71858	182057
1415	71917	182028
1416	71967	181975
1417	72015	181917
1418	72067	181870
1419	72116	181814
1420	72164	181757
1421	72210	181695
1422	72260	181642
1423	72312	181594
1424	72364	181545
1425	72410	181483
1426	72456	181420
1427	72509	181374
1428	72561	181328
1429	72617	181290
1430	72676	181258
1431	72729	181214
1432	72793	181195
1433	72848	181155
1434	72903	181115
1435	72964	181090
1436	73019	181049
1437	73068	180993
1438	73115	180935
1439	73162	180873
1440	73213	180822
1441	73265	180775
1442	73316	180725
1443	73367	180675
1444	73418	180624
1445	73473	180584
1446	73526	180538
1447	73580	180494
1448	73632	180447
1449	73683	180396
1450	73731	180339
1451	73778	180279
1452	73830	180231
1453	73894	180213
1454	73947	180167
1455	73997	180115
1456	74049	180067
1457	74098	180012
1458	74150	179962
1459	74201	179913
1460	74248	179854
1461	74304	179815
1462	74355	179765
1463	74407	179715
1464	74452	179652
1465	74504	179604
1466	74550	179540
1467	74602	179492
1468	74656	179449
1469	74703	179390
1470	74751	179332
1471	74801	179278
1472	74850	179224
1473	74907	179188
1474	74956	179133
1475	75010	179090
1476	75065	179048
1477	75116	178999
1478	75157	178924
1479	75205	178866
1480	75256	178817
1481	75312	178778
1482	75367	178738
1483	75417	178684
1484	75463	178623
1485	75512	178566
1486	75565	178521
1487	75614	178466
1488	75662	178409
1489	75708	178345
1490	75753	178283
1491	75805	178233
1492	75852	178173
1493	75913	178148
1494	75970	178111
1495	76021	178060
1496	76080	178030
1497	76137	177992
1498	76190	177947
1499	76246	177908
1500	76303	177870
1501	76354	177822
1502	76403	177765
1503	76453	177714
1504	76503	177661
1505	76551	177602
1506	76601	177550
1507	76654	177503
1508	76702	177447
1509	76750	177390
1510	76805	177348
1511	76853	177291
1512	76908	177251
1513	76958	177196
1514	77010	177148
1515	77057	177089
1516	77106	177035
1517	77155	176980
1518	77210	176937
1519	77263	176893
1520	77315	176845
1521	77363	176786
1522	77410	176728
1523	77459	176673
1524	77510	176622
1525	77564	176577
1526	77614	176524
1527	77661	176466
1528	77710	176412
1529	77760	176358
1530	77810	176305
1531	77861	176256
1532	77913	176208
1533	77957	176141
1534	78005	176083
1535	78051	176022
1536	78094	175953
1537	78142	175896
1538	78194	175848
1539	78244	175795
1540	78297	175749
1541	78354	175713
1542	78401	175652
1543	78455	175609
1544	78503	175552
1545	78551	175497
1546	78603	175447
1547	78644	175376
1548	78691	175316
1549	78741	175263
1550	78792	175211
1551	78836	175146
1552	78890	175102
1553	78945	175061
1554	78995	175010
1555	79042	174950
1556	79091	174894
1557	79138	174836
1558	79187	174781
1559	79234	174721
1560	79285	174672
1561	79338	174626
1562	79397	174592
1563	79455	174558
1564	79504	174502
1565	79553	174448
1566	79608	174406
1567	79659	174356
1568	79712	174310
1569	79760	174253
1570	79811	174202
1571	79862	174154
1572	79930	174140
1573	79981	174090
1574	80028	174030
1575	80073	173966
1576	80128	173924
1577	80178	173873
1578	80227	173817
1579	80274	173758
1580	80326	173710
1581	80374	173653
1582	80418	173588
1583	80468	173534
1584	80525	173497
1585	80578	173452
1586	80626	173394
1587	80673	173336
1588	80718	173273
1589	80768	173221
1590	80820	173171
1591	80872	173123
1592	80928	173085
1593	80977	173030
1594	81032	172987
1595	81081	172933
1596	81132	172883
1597	81179	172823
1598	81226	172764
1599	81278	172716
1600	81321	172649
1601	81373	172601
1602	81419	172540
1603	81468	172485
1604	81517	172430
1605	81564	172371
1606	81623	172339
1607	81678	172296
1608	81725	172238
1609	81779	172194
1610	81827	172137
1611	81888	172108
1612	81939	172057
1613	81991	172009
1614	82040	171955
1615	82087	171896
1616	82136	171841
1617	82184	171785
1618	82229	171722
1619	82282	171675
1620	82339	171637
1621	82390	171587
1622	82437	171529
1623	82482	171467
1624	82525	171399
1625	82576	171348
1626	82622	171288
1627	82672	171235
1628	82733	171207
1629	82796	171181
1630	82848	171133
1631	82901	171086
1632	82951	171032
1633	83000	170979
1634	83052	170930
1635	83103	170879
1636	83151	170824
1637	83201	170770
1638	83251	170718
1639	83310	170685
1640	83362	170636
1641	83409	170578
1642	83458	170523
1643	83509	170473
1644	83556	170413
1645	83608	170365
1646	83662	170322
1647	83717	170280
1648	83767	170226
1649	83824	170188
1650	83895	170178
1651	83942	170120
1652	83990	170064
1653	84035	170001
1654	84083	169944
1655	84135	169897
1656	84182	169838
1657	84227	169775
1658	84273	169715
1659	84325	169666
1660	84380	169624
