iter	Accuracy	Logloss
1905	0.831237186	0.3800503094
1906	0.831237186	0.3800417927
1907	0.831237186	0.3800417329
1908	0.8312677867	0.3800388641
1909	0.8312677867	0.3800388342
1910	0.8312677867	0.3800384756
1911	0.8312677867	0.3800383561
1912	0.8312677867	0.3800343517
1913	0.8312677867	0.3800343517
1914	0.8312677867	0.3800311243
1915	0.8312677867	0.3800212328
1916	0.8310841825	0.3800047072
1917	0.8310841825	0.3800047072
1918	0.8310841825	0.3800043785
1919	0.8310841825	0.3800043486
1920	0.8310841825	0.3800041992
1921	0.8310229811	0.3800033027
1922	0.8310229811	0.3800032728
1923	0.8310229811	0.3800032728
1924	0.8310229811	0.3800030637
1925	0.8311147832	0.3799751226
1926	0.8311147832	0.3799654702
1927	0.8311453839	0.3799485263
1928	0.8311453839	0.3799482275
1929	0.8312065853	0.3799438645
1930	0.8311453839	0.3799193301
1931	0.831237186	0.3798997266
1932	0.831237186	0.3798981427
1933	0.831237186	0.3798981128
1934	0.8312677867	0.3798768059
1935	0.8312677867	0.3798579793
1936	0.831328988	0.3798551404
1937	0.8312983873	0.3798494028
1938	0.8312983873	0.3798491338
1939	0.8312677867	0.3798268706
1940	0.8312677867	0.3798130943
1941	0.8312065853	0.3797822247
1942	0.8312065853	0.379781896
1943	0.8312065853	0.379741882
1944	0.831328988	0.3797265816
1945	0.831237186	0.3796983118
1946	0.831237186	0.3796981325
1947	0.831237186	0.3796979234
1948	0.831237186	0.3796979532
1949	0.8312677867	0.3796977142
1950	0.8312677867	0.3796973855
1951	0.8312677867	0.3796971464
1952	0.8312677867	0.3796970866
1953	0.8312677867	0.3796946959
1954	0.8312677867	0.3796947258
1955	0.8312677867	0.3796935903
1956	0.8312983873	0.3796785589
1957	0.8312983873	0.3796739269
1958	0.8312983873	0.379673658
1959	0.8312983873	0.3796689065
1960	0.8312983873	0.3796571324
1961	0.8312983873	0.3796571324
1962	0.8312983873	0.3796571025
1963	0.8312983873	0.3796553095
1964	0.8312983873	0.3796527694
1965	0.831328988	0.3796525303
1966	0.8314207901	0.3796205251
1967	0.8314207901	0.3796202861
1968	0.8314207901	0.3796199872
1969	0.8314207901	0.3796198677
1970	0.8314207901	0.3796196884
1971	0.831328988	0.3795925243
1972	0.8313901894	0.3795678704
1973	0.8313901894	0.3795678704
1974	0.8313901894	0.3795675716
1975	0.8315431929	0.3795384352
1976	0.8315737936	0.3795053542
1977	0.8315737936	0.3795051749
1978	0.8315737936	0.3795049956
1979	0.8315737936	0.3795049956
1980	0.8315737936	0.379501798
1981	0.8315431929	0.3794840174
1982	0.8315431929	0.3794837185
1983	0.8316043943	0.3794507271
1984	0.831634995	0.3794496513
1985	0.831634995	0.3794480974
1986	0.831634995	0.3794480078
1987	0.831634995	0.3794479779
1988	0.831634995	0.3794478583
1989	0.8315125922	0.3794259836
1990	0.8315125922	0.3794258043
1991	0.8315125922	0.3794257147
